Time,Totalcalls,ActiveCalls,RingingCalls
Tue Jul 19 01:02:14 EST 2022,0,0,0
Tue Jul 19 01:02:24 EST 2022,0,0,0
Tue Jul 19 01:02:34 EST 2022,0,0,0
Tue Jul 19 01:02:44 EST 2022,0,0,0
Tue Jul 19 01:02:54 EST 2022,0,0,0
Tue Jul 19 01:03:04 EST 2022,0,0,0
Tue Jul 19 01:03:14 EST 2022,0,0,0
Tue Jul 19 01:03:24 EST 2022,0,0,0
Tue Jul 19 01:03:34 EST 2022,0,0,0
Tue Jul 19 01:03:44 EST 2022,0,0,0
Tue Jul 19 01:03:54 EST 2022,0,0,0
Tue Jul 19 01:04:04 EST 2022,0,0,0
Tue Jul 19 01:04:14 EST 2022,0,0,0
Tue Jul 19 01:04:24 EST 2022,0,0,0
Tue Jul 19 01:04:34 EST 2022,0,0,0
Tue Jul 19 01:04:44 EST 2022,0,0,0
Tue Jul 19 01:04:54 EST 2022,0,0,0
Tue Jul 19 01:05:04 EST 2022,0,0,0
Tue Jul 19 01:05:14 EST 2022,0,0,0
Tue Jul 19 01:05:24 EST 2022,0,0,0
Tue Jul 19 01:05:34 EST 2022,0,0,0
Tue Jul 19 01:05:44 EST 2022,0,0,0
Tue Jul 19 01:05:54 EST 2022,0,0,0
Tue Jul 19 01:06:04 EST 2022,0,0,0
Tue Jul 19 01:06:14 EST 2022,0,0,0
Tue Jul 19 01:06:24 EST 2022,0,0,0
Tue Jul 19 01:06:34 EST 2022,0,0,0
Tue Jul 19 01:06:44 EST 2022,0,0,0
Tue Jul 19 01:06:54 EST 2022,0,0,0
Tue Jul 19 01:07:04 EST 2022,0,0,0
Tue Jul 19 01:07:14 EST 2022,0,0,0
Tue Jul 19 01:07:24 EST 2022,0,0,0
Tue Jul 19 01:07:34 EST 2022,0,0,0
Tue Jul 19 01:07:44 EST 2022,0,0,0
Tue Jul 19 01:07:55 EST 2022,0,0,0
Tue Jul 19 01:08:05 EST 2022,0,0,0
Tue Jul 19 01:08:15 EST 2022,0,0,0
Tue Jul 19 01:08:25 EST 2022,0,0,0
Tue Jul 19 01:08:35 EST 2022,0,0,0
Tue Jul 19 01:08:45 EST 2022,0,0,0
Tue Jul 19 01:08:55 EST 2022,0,0,0
Tue Jul 19 01:09:05 EST 2022,0,0,0
Tue Jul 19 01:09:15 EST 2022,0,0,0
Tue Jul 19 01:09:25 EST 2022,0,0,0
